statefp,countyfp,countyns,affgeoid,geoid,name,lsad,aland,awater,state_name,state_abbr,jurisdiction_type,LON,LAT
39,131,01074078,0500000US39131,39131,Pike,06,1140324458,9567612,Ohio,OH,state,-83.06765364261693,39.076519681685355
46,003,01266983,0500000US46003,46003,Aurora,06,1834813753,11201379,South Dakota,SD,state,-98.5605049042943,43.71751815730403
55,035,01581077,0500000US55035,55035,Eau Claire,06,1652211310,18848512,Wisconsin,WI,state,-91.2860838929714,44.72692860868939
72,145,01804553,0500000US72145,72145,Vega Baja,13,118766803,57805868,Puerto Rico,PR,territory,-66.39840206635529,18.426411793315943
48,259,01383915,0500000US48259,48259,Kendall,06,1715747531,1496797,Texas,TX,state,-98.71137633696065,29.945659712028426
40,015,01101795,0500000US40015,40015,Caddo,06,3310745124,30820525,Oklahoma,OK,state,-98.37521878290669,35.17341588309372
19,093,00465235,0500000US19093,19093,Ida,06,1117599859,1406461,Iowa,IA,state,-95.51350035792989,42.386934984836365
28,071,00695759,0500000US28071,28071,Lafayette,06,1636141755,123052156,Mississippi,MS,state,-89.48486601361441,34.356846334722135
12,027,00294452,0500000US12027,12027,DeSoto,06,1649978040,6247257,Florida,FL,state,-81.80942486682875,27.186897844130183
31,137,00835890,0500000US31137,31137,Phelps,06,1398048574,1646534,Nebraska,NE,state,-99.4146367448699,40.5115435435874
26,143,01623014,0500000US26143,26143,Roscommon,06,1345852870,156421369,Michigan,MI,state,-84.61067144388794,44.33474757704158
16,075,00394896,0500000US16075,16075,Payette,06,1053857317,8870732,Idaho,ID,state,-116.76490968587824,44.005444995682176
45,083,01248592,0500000US45083,45083,Spartanburg,06,2092597504,29211230,South Carolina,SC,state,-81.9921615093033,34.92943383975796
36,009,00974103,0500000US36009,36009,Cattaraugus,06,3388637061,36604688,New York,NY,state,-78.67923245342777,42.24776517842829
18,037,00451675,0500000US18037,18037,Dubois,06,1106624776,20884565,Indiana,IN,state,-86.8792826866332,38.36589964062772
19,147,00465262,0500000US19147,19147,Palo Alto,06,1460391660,14437623,Iowa,IA,state,-94.67824512972882,43.08201671590089
20,207,00485064,0500000US20207,20207,Woodson,06,1289347405,19251488,Kansas,KS,state,-95.74006229539904,37.88663075465341
